Pokemon,Aerodactyl,Alakazam,Arbok,Arcanine,Articuno,Beedrill,Blastoise,Butterfree,Chansey,Charizard,Clefable,Cloyster,Dewgong,Ditto,Dodrio,Dragonite,Dugtrio,Electabuzz,Electrode,Exeggutor,Farfetchd,Fearow,Flareon,Gengar,Golbat,Golduck,Golem,Gyarados,Hitmonchan,Hitmonlee,Hypno,Jolteon,Jynx,Kabutops,Kangaskhan,Kingler,Lapras,Lickitung,Machamp,Magmar,Magneton,Marowak,Mew,Mewtwo,Moltres,Mrmime,Muk,Nidoking,Nidoqueen,Ninetales,Omastar,Onix,Parasect,Persian,Pidgeot,Pinsir,Poliwrath,Porygon,Primeape,Raichu,Rapidash,Raticate,Rhydon,Sandslash,Scyther,Seadra,Seaking,Slowbro,Snorlax,Starmie,Tangela,Tauros,Tentacruel,Vaporeon,Venomoth,Venusaur,Victreebel,Vileplume,Weezing,Wigglytuff,Zapdos
Aerodactyl,0,-14,81,42,-48,94,-50,58,-41,79,10,-25,-65,90,52,64,2,-33,-73,-37,75,56,82,-85,98,-45,-94,-34,80,53,-13,-70,21,-100,-17,62,-58,78,28,66,-21,-10,12,-72,34,48,-39,-24,-44,35,-100,-18,94,10,54,65,-45,-16,28,-33,33,66,-89,67,58,-35,25,-54,-36,-28,14,31,-41,-74,47,79,-15,20,-59,-19,-54
Alakazam,14,0,98,30,55,100,74,100,38,62,48,65,70,100,26,74,4,70,6,8,60,66,30,98,86,74,50,50,98,100,54,-2,34,-64,66,62,68,30,78,60,42,82,-54,-80,12,48,88,84,70,12,72,74,94,-54,57,-54,96,88,98,48,22,34,30,78,-48,70,80,6,-34,39,66,-24,76,56,100,66,100,86,76,66,24
Arbok,-81,-98,0,-8,-48,88,-60,-68,40,-74,-10,-34,-42,94,-74,-62,-74,18,4,-80,2,-78,78,28,-21,-38,-50,-62,-2,-6,-52,10,-78,-58,-86,-40,-48,-28,-36,-54,72,-68,-82,-100,-66,-68,70,22,-56,26,28,-28,-4,-84,-88,-80,-44,61,-58,0,26,-48,-64,-52,-76,-54,44,-76,-56,-90,-16,-74,-42,-40,-70,14,100,36,44,4,-66
Arcanine,-42,-30,8,0,48,80,-66,68,60,-64,39,-52,-70,86,-50,38,-56,-18,-16,-46,8,-26,40,-27,65,-34,-48,40,50,58,-6,-22,36,-100,-42,-6,36,-2,2,68,-6,-66,-80,-66,-8,48,-9,-48,-68,42,-100,-30,84,12,-46,-36,-46,62,30,0,26,-44,-61,-60,-26,-56,70,-72,-36,0,38,-62,-80,-62,58,64,100,44,44,32,-72
Articuno,48,-55,48,-48,0,58,-3,72,-50,-32,-35,-38,-32,90,-62,5,-68,-61,-82,-51,18,-28,53,-62,20,-11,50,-35,17,-1,-13,-72,23,-29,-66,-26,-56,-25,-12,-49,-62,-4,-61,-82,-32,-22,-50,-60,-39,-71,-37,74,74,-45,-56,-62,-22,57,-49,-79,18,-36,12,-5,-48,-42,56,-36,-70,-58,35,-64,-44,-31,24,55,100,19,-51,-32,-72
Beedrill,-94,-100,-88,-80,-58,0,-74,-76,-66,-70,-62,-78,-56,-44,-80,-62,-100,-82,-72,-56,-78,-64,-50,-100,-72,-66,-100,-80,-74,-70,-100,-72,-78,-100,-68,-58,-42,-80,-78,-76,-72,-78,-80,-100,-62,-94,-72,-70,-100,-64,-100,-100,-74,-70,-76,-100,-44,-65,-76,-98,-70,-98,-100,-62,-100,-76,-83,-68,-82,-100,-80,-86,-98,-72,-100,-38,92,48,-72,-58,-72
Blastoise,50,-74,60,66,3,74,0,70,-28,62,22,56,35,96,0,40,22,-74,-68,-44,34,29,64,-88,28,26,100,-81,88,48,-26,-82,-54,-8,22,8,-74,80,58,88,-44,94,0,-100,58,-8,-26,26,58,52,52,100,88,-64,-2,-42,50,71,50,-82,52,14,100,76,34,-8,55,64,-14,-46,-35,-12,0,20,26,-27,-50,-17,4,42,-68
Butterfree,-58,-100,68,-68,-72,76,-70,0,-100,-68,-58,-46,-76,92,-70,-74,-80,-100,-100,-98,-44,-84,-62,-84,41,-52,-42,-96,40,18,-100,-100,-100,-100,-72,-68,-88,-38,6,-98,-96,-2,-100,-100,-80,-100,54,-60,-52,-74,-56,-78,-32,-56,-45,-100,22,-38,6,-100,-56,-70,-40,-18,-98,-76,-46,-92,-72,-100,-20,-76,-68,-82,24,28,52,44,56,-18,-100
Chansey,41,-38,-40,-60,50,66,28,100,0,28,-22,88,66,100,24,13,6,12,-1,34,56,48,-56,26,68,90,90,52,42,-2,16,24,22,82,-50,34,54,72,-42,49,-5,94,-62,-80,34,40,-29,2,-13,-32,50,84,84,-94,39,-86,96,77,-36,-41,-44,-28,88,50,60,98,50,100,-46,62,74,-70,36,38,98,42,-86,53,74,28,-67
Charizard,-79,-62,74,64,32,70,-62,68,-28,0,-12,-77,-50,88,-74,34,-74,-62,-76,-38,42,-34,72,-64,40,-54,16,-52,14,20,-40,-76,62,-20,-32,-18,-54,-10,-50,100,-30,-17,-64,-74,38,20,60,32,50,66,-46,-24,78,-22,-32,-36,-50,-25,-24,-88,54,-22,8,20,-46,-48,57,-80,-50,-34,50,-66,-18,-70,42,12,86,42,42,-24,-64
